#歌单名称	歌名	歌手	专辑	原平台	原歌曲ID
pop(QQ)	送你一朵小红花	赵英俊	送你一朵小红花 电影歌曲专辑	qq	002jNyoG3FhJQt
pop(QQ)	心要野	后海大鲨鱼	心要野	qq	003W0rCa3fqguj
pop(QQ)	呼吸有害	莫文蔚	呼吸有害 (电影《飞虎之雷霆极战》主题曲)	qq	001CeFxS3HjWBB
pop(QQ)	谁不曾拥有梦想	霍宝库	谁不曾拥有梦想	qq	001QONXB4T6PtS
pop(QQ)	朋友	谭咏麟	暴风女神Lorelei	qq	002I8eGJ28BI17
pop(QQ)	破茧	张韶涵	破茧(《斗罗大陆》动画2020年新主题曲)	qq	001Y7zXa1p0ryF
pop(QQ)	一念之间	告五人	带你飞	qq	000P5eK80T3IC3
pop(QQ)	茶底世界	丢火车乐队 / 贰佰 / 庄达菲	我们民谣2022 第10期	qq	002en20Y0FjnhJ
pop(QQ)	坏了	张芸京	相反的我	qq	0039P2Zo1oO6fz
pop(QQ)	不值得你爱我 (Not Worth You Love)	有余 / 任二三	未说出口的话	qq	000m4NIC18I05Z
pop(QQ)	时光啊	夏城南	时光啊	qq	001IYQ0v40dOKo
pop(QQ)	一直很安静	阿桑	仙剑奇侠传 电视剧原声带	qq	0029eQ0Z1Cxptl
pop(QQ)	未末	SwevenG骨子哥	未末(写给00后致以童年)	qq	001MbYTi3PhJ0R
pop(QQ)	如约而至	许嵩	寻宝游戏	qq	00451L5p43Jew4
pop(QQ)	第一次	光良	第1次个人创作专辑	qq	000cMGi72aaTnn
pop(QQ)	花与少年Rose N Boy	蒋一侨	Y	qq	003DI95h1inimy
pop(QQ)	彼岸的海	吉尼红美	彼岸的海	qq	002G4OKk4XRNV9
pop(QQ)	热辣滚烫	希林娜依高	热辣滚烫	qq	001eP3oj1wHFx0
pop(QQ)	归途有风	王菲	归途有风	qq	001Tnxla0VOiyz
pop(QQ)	空白	LunaLiu刘不语	空白	qq	000nZLKk1FTwK2
pop(QQ)	新造的人	郑宜农	周处除三害 电影原声带	qq	0049k6Pu1b8IT3
pop(QQ)	执迷不悔	王菲	执迷不悔	qq	002cMFsx1NCqMI
pop(QQ)	柳叶笺	朱彦安 / 张诗莉	柳叶笺	qq	003GIOxs12kdSc
pop(QQ)	生活倒影	苏运莹	幻	qq	000QQyiE1BCET1
pop(QQ)	梦返	黄霄雲	梦返	qq	002uJsik1HQOYw
pop(QQ)	故事还长	云汐	故事还长	qq	003IXn2x3tnmxy
pop(QQ)	夏天	李玖哲	好玖	qq	000pOCic0ArcYA
pop(QQ)	Letting Go	蔡健雅	说到爱	qq	004aJoYT3ia7al
pop(QQ)	我的纸飞机	GooGoo / 王之睿	我的纸飞机	qq	001PnQRU3zLNK3
pop(QQ)	星光就在前方	抠抠	星光就在前方	qq	002ePDHm35AqUl
pop(QQ)	在想你的夜我告诉自己 (Unforgotten)	银河快递 (Galaxy Express)	在想你的夜我告诉自己 (Unforgotten)	qq	000DNA9s4Eeuyf
pop(QQ)	时光洪流	程响	时光洪流	qq	001YVo3U4H3LLH
pop(QQ)	满天星辰不及你	ycccc	满天星辰不及你	qq	001NTymr2HdIZz
pop(QQ)	妈妈的话	Zyboy忠宇	妈妈的话	qq	0022U64e09G3CR
pop(QQ)	气象站台	Uu (刘梦妤)	气象站台	qq	000JumH938huIb
pop(QQ)	凄美地	郭顶	凄美地	qq	00057jkW1DsOrQ
pop(QQ)	我怀念的	孙燕姿	逆光	qq	000BO3xy4fd8BJ
pop(QQ)	一万次悲伤	逃跑计划	世界	qq	003k5eSn4Sb9ex
pop(QQ)	唯一	告五人	运气来得若有似无	qq	0023jgxa0Ym5yo
pop(QQ)	再见深海 (微亮的瞬间)	唐汉霄	再见深海 (微亮的瞬间)	qq	002ZGF1a36sLuM
pop(QQ)	生分	川青	生分	qq	004VAVkM0aRz7B
pop(QQ)	蚍蜉	花粥	蚍蜉	qq	003NDfjq0cfvfl
pop(QQ)	我记得	赵雷	署前街少年	qq	002dw4gv1ZmiGt
pop(QQ)	如愿	王菲	如愿	qq	001ufyHx10iWpg
pop(QQ)	素颜	许嵩 / 何曼婷	素颜	qq	004Gq0xE1YC8xp
pop(QQ)	嘉宾	张远	嘉宾	qq	001i36ji0C8Cov
pop(QQ)	把回忆拼好给你	cici_	把回忆拼好给你 (新版)	qq	001dnUhx480S1Y
pop(QQ)	给你一瓶魔法药水	告五人	玫瑰凭证	qq	002yfDQn4YfckB
pop(QQ)	借我	谢春花	算云烟	qq	000H3VYO0hU0ko
pop(QQ)	下潜	川青 / Morerare	下潜	qq	001NnrWZ3eeEVw
pop(QQ)	旅行日记	廖震豪 / 孙紫涵	旅行日记	qq	003yVcOt0UWfXE
pop(QQ)	我知道	BY2	Twins	qq	003upMMS1zgYzc
pop(QQ)	旅行者	街道办GDC	旅行者	qq	004YV3z82J7JaC
pop(QQ)	漠河舞厅	戴羽彤	漠河舞厅	qq	001h4Gdc1gdvPT
pop(QQ)	路过人间	郁可唯	路过人间 (演唱会Live限定版)	qq	002ic85X3x4zum
pop(QQ)	迷失幻境	IN-K / 王忻辰	回忆观影券	qq	002Vo1xP3z9BVS
pop(QQ)	爱，存在	林小珂	爱，存在	qq	003rsS2e3r8YNS
pop(QQ)	孤独颂歌	陈文非	孤独颂歌	qq	004YR7Dn03a2ge
pop(QQ)	New Boy	房东的猫	New Boy	qq	003UTVCN0QvffG
pop(QQ)	眼泪的错觉	王露凝 / 乔海清	眼泪的错觉	qq	000jH41L01zQ9h
pop(QQ)	越长大越孤单	牛奶咖啡	越长大越孤单	qq	002c1gqK40Lc0Y
pop(QQ)	阿拉斯加海湾	蓝心羽	阿拉斯加海湾	qq	002FHVgG4btehE
pop(QQ)	等一场大雨	苏星婕	等一场大雨	qq	001iyR1A1iIEzr
pop(QQ)	是你	梦然	是你	qq	000GVhGu078nKq
pop(QQ)	说谎	林宥嘉	感官/世界	qq	000W95Fk3lAVxV
pop(QQ)	喜欢	阿肆	喜欢	qq	0015EQT708bZlQ
pop(QQ)	夏天的风	Uu (刘梦妤)	夏天的风	qq	0020HNvU4GxTZN
pop(QQ)	走在冷风中	刘思涵	花开的声音	qq	001WXWsj0dbH5I
pop(QQ)	你是人间四月天	邵帅	你是人间四月天	qq	001w6xLH38QiQa
