#歌名	歌手	专辑	LX来源	LX来源ID	其他来源(平台:ID)	原歌单
送你一朵小红花	赵英俊	送你一朵小红花 电影歌曲专辑	qq	002jNyoG3FhJQt	qq:002jNyoG3FhJQt	pop(QQ)
心要野	后海大鲨鱼	心要野	qq	003W0rCa3fqguj	qq:003W0rCa3fqguj	pop(QQ)
呼吸有害	莫文蔚	呼吸有害 (电影《飞虎之雷霆极战》主题曲)	qq	001CeFxS3HjWBB	qq:001CeFxS3HjWBB	pop(QQ)
谁不曾拥有梦想	霍宝库	谁不曾拥有梦想	qq	001QONXB4T6PtS	qq:001QONXB4T6PtS	pop(QQ)
朋友	谭咏麟	暴风女神Lorelei	qq	002I8eGJ28BI17	qq:002I8eGJ28BI17	pop(QQ)
破茧	张韶涵	破茧(《斗罗大陆》动画2020年新主题曲)	qq	001Y7zXa1p0ryF	qq:001Y7zXa1p0ryF	pop(QQ)
一念之间	告五人	带你飞	qq	000P5eK80T3IC3	qq:000P5eK80T3IC3	pop(QQ)
茶底世界	丢火车乐队 / 贰佰 / 庄达菲	我们民谣2022 第10期	qq	002en20Y0FjnhJ	qq:002en20Y0FjnhJ	pop(QQ)
坏了	张芸京	相反的我	qq	0039P2Zo1oO6fz	qq:0039P2Zo1oO6fz	pop(QQ)
不值得你爱我 (Not Worth You Love)	有余 / 任二三	未说出口的话	qq	000m4NIC18I05Z	qq:000m4NIC18I05Z	pop(QQ)
时光啊	夏城南	时光啊	qq	001IYQ0v40dOKo	qq:001IYQ0v40dOKo	pop(QQ)
一直很安静	阿桑	仙剑奇侠传 电视剧原声带	qq	0029eQ0Z1Cxptl	qq:0029eQ0Z1Cxptl ; qq:003lQEcy4Ng0wQ	pop(QQ)
未末	SwevenG骨子哥	未末(写给00后致以童年)	qq	001MbYTi3PhJ0R	qq:001MbYTi3PhJ0R	pop(QQ)
如约而至	许嵩	寻宝游戏	qq	00451L5p43Jew4	qq:00451L5p43Jew4	pop(QQ)
第一次	光良	第1次个人创作专辑	qq	000cMGi72aaTnn	qq:000cMGi72aaTnn	pop(QQ)
花与少年Rose N Boy	蒋一侨	Y	qq	003DI95h1inimy	qq:003DI95h1inimy	pop(QQ)
彼岸的海	吉尼红美	彼岸的海	qq	002G4OKk4XRNV9	qq:002G4OKk4XRNV9	pop(QQ)
热辣滚烫	希林娜依高	热辣滚烫	qq	001eP3oj1wHFx0	qq:001eP3oj1wHFx0	pop(QQ)
归途有风	王菲	归途有风	qq	001Tnxla0VOiyz	qq:001Tnxla0VOiyz	pop(QQ)
空白	LunaLiu刘不语	空白	qq	000nZLKk1FTwK2	qq:000nZLKk1FTwK2	pop(QQ)
新造的人	郑宜农	周处除三害 电影原声带	qq	0049k6Pu1b8IT3	qq:0049k6Pu1b8IT3	pop(QQ)
执迷不悔	王菲	执迷不悔	qq	002cMFsx1NCqMI	qq:002cMFsx1NCqMI	pop(QQ)
柳叶笺	朱彦安 / 张诗莉	柳叶笺	qq	003GIOxs12kdSc	qq:003GIOxs12kdSc ; wy:553795744	pop(QQ) ; 粤语(网易云)
生活倒影	苏运莹	幻	qq	000QQyiE1BCET1	qq:000QQyiE1BCET1	pop(QQ)
梦返	黄霄雲	梦返	qq	002uJsik1HQOYw	qq:002uJsik1HQOYw	pop(QQ)
故事还长	云汐	故事还长	qq	003IXn2x3tnmxy	qq:003IXn2x3tnmxy	pop(QQ)
夏天	李玖哲	好玖	qq	000pOCic0ArcYA	qq:000pOCic0ArcYA	pop(QQ)
Letting Go	蔡健雅	说到爱	qq	004aJoYT3ia7al	qq:004aJoYT3ia7al	pop(QQ)
我的纸飞机	GooGoo / 王之睿	我的纸飞机	qq	001PnQRU3zLNK3	qq:001PnQRU3zLNK3	pop(QQ)
星光就在前方	抠抠	星光就在前方	qq	002ePDHm35AqUl	qq:002ePDHm35AqUl	pop(QQ)
在想你的夜我告诉自己 (Unforgotten)	银河快递 (Galaxy Express)	在想你的夜我告诉自己 (Unforgotten)	qq	000DNA9s4Eeuyf	qq:000DNA9s4Eeuyf	pop(QQ)
时光洪流	程响	时光洪流	qq	001YVo3U4H3LLH	qq:001YVo3U4H3LLH	pop(QQ)
满天星辰不及你	ycccc	满天星辰不及你	qq	001NTymr2HdIZz	qq:001NTymr2HdIZz	pop(QQ)
妈妈的话	Zyboy忠宇	妈妈的话	qq	0022U64e09G3CR	qq:0022U64e09G3CR	pop(QQ)
气象站台	Uu (刘梦妤)	气象站台	qq	000JumH938huIb	qq:000JumH938huIb	pop(QQ)
凄美地	郭顶	凄美地	qq	00057jkW1DsOrQ	qq:00057jkW1DsOrQ	pop(QQ)
我怀念的	孙燕姿	逆光	qq	000BO3xy4fd8BJ	qq:000BO3xy4fd8BJ	pop(QQ)
一万次悲伤	逃跑计划	世界	qq	003k5eSn4Sb9ex	qq:003k5eSn4Sb9ex	pop(QQ)
唯一	告五人	运气来得若有似无	qq	0023jgxa0Ym5yo	qq:0023jgxa0Ym5yo	pop(QQ)
