#被合并的重复歌曲：每组只保留 1 条，其余视为重复
#保留歌名	歌手	保留来源	被合并掉的来源(平台:ID)	原歌单
一直很安静	阿桑	qq:0029eQ0Z1Cxptl	qq:003lQEcy4Ng0wQ	pop(QQ)
柳叶笺	朱彦安/张诗莉	qq:003GIOxs12kdSc	wy:553795744	pop(QQ); 粤语(网易云)
说谎	林宥嘉	qq:000W95Fk3lAVxV	qq:000pnKlx1Q0S7j	pop(QQ)
你是人间四月天	邵帅	qq:001w6xLH38QiQa	qq:004BZtcT056AWi	pop(QQ)
飞云之下	韩红/林俊杰	qq:000fVqPH1RjwS3	qq:001A5PTK2nTVeo	pop(QQ)
我的秘密	G.E.M.邓紫棋	qq:002wKHHm42wVh1	qq:002qaWTe07sLNq	pop(QQ)
梦伴	李悦君	qq:001aHqfj1hDgTD	wy:26584453	pop(QQ); 粤语(网易云)
讲不出再见	谭咏麟	qq:000x5mxM09O8wG	wy:152392	pop(QQ); 粤语(网易云)
其实都没有	杨宗纬/杨旭/于冬然/范甲君	qq:003204Rq3AtMbE	qq:002JGaP80Y09Zg	pop(QQ)
画心	张靓颖/卢昶宇/王艺陶/李秉成	qq:000WMDXj47ApRt	qq:0045cdSn27l6YM	pop(QQ)
泡沫	G.E.M.邓紫棋	qq:000cwwze4FkFj4	qq:004J0XSB3oc1SK	pop(QQ)
你瞒我瞒	陈柏宇	qq:003aO1KY3ZC9zG	qq:001EgTUP43EmU2	pop(QQ)
好心分手	卢巧音/王力宏	qq:000599Bh1CvCoG	wy:94663	pop(QQ); 粤语(网易云)
宏愿	周柏豪	qq:004aEV821P0wRE	wy:191534	pop(QQ); 粤语(网易云)
房间	刘瑞琦	qq:001evmuP29rXfo	qq:000BQN8F1YTHXK	pop(QQ)
座右铭	吴雨霏	qq:000xjzqm0pxJAa	qq:002LQw1y3xjTZa	pop(QQ)
最后的旅行	Rainton桐	qq:0017OcfA2YPamM	qq:002DZiEN0NUg2l	pop(QQ)
少女的祈祷	杨千嬅	wy:29593497	wy:67249	粤语(网易云)
Shots	Imagine Dragons	wy:30373640	wy:31789010	Sing(网易云)
Just the Way You Are	Bruno Mars	wy:5093684	wy:24197377	Sing(网易云)
Love Me Like You Do	Ellie Goulding	wy:29966565	wy:36308236	Sing(网易云)
Something Just Like This	The Chainsmokers/Coldplay	wy:470547653	wy:461347998	Sing(网易云)
